College,Degree,GradYear,AssignedGiftOfficer,Spouse,Email,PhoneNumber,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,TotalGiving,FY21,FY20,FY19,FY18,FY17
College for Men,Bachelor of Arts,1959,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,4056,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,11335,0,1000,100,2500,1000
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,136,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0
College for Men,Bachelor of Arts,1959,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,200,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,378,0,0,0,0,0
Seminary,Bachelor of Arts,1959,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,390,0,0,0,0,0
