College,Degree,50s,60s,70s,80s,90s,2000s,2010s,2020s,AssignedGiftOfficer,Spouse,Email,Phone Number,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,LifetimeGiving,FY21,FY20,FY19,FY18,FY17,FY16,FY15,FY14,FY13,FY12,FY11,FY10,FY09,FY08,FY07,FY06,FY05,FY04,FY03,FY02
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1517,0,0,0,350,100,100,0,649,0,0,0,0,0,18,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1516,0,0,0,36,0,0,154,72,0,0,0,36,18,0,0,0,36,10,36,25
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1515,50,50,50,50,50,50,50,50,50,50,50,0,100,0,0,100,100,0,0,25
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1512,0,180,0,172,0,118,0,72,0,0,50,280,100,100,0,0,100,140,200,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1512,0,180,0,172,0,118,0,72,0,0,50,280,100,100,0,0,100,140,200,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,0,0,0,18,0,100,0,36,19,18,15
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1510,0,1000,500,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,0,360,0,0,0,150,0,0,0,0,0,1000,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1509,0,25,100,118,0,100,36,450,0,75,75,80,75,75,300,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1509,0,25,100,118,0,100,36,450,0,75,75,80,75,75,300,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1508,0,0,0,0,0,50,0,0,0,100,358,0,0,0,0,25,100,75,100,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1508,36,0,118,0,235,36,136,180,0,0,0,600,0,0,118,49,0,0,0,0
